BORE_ID,HEADER_ID,STATE_NAME,COUNTY_NAME,WELL_PROFILE_CODE,FIRST_ELEVATION,FIRST_ELEVATION_TYPE_CODE,FIRST_ELEVATION_SOURCE,SECOND_ELEVATION,SECOND_ELEVATION_TYPE_CODE,SECOND_ELEVATION_SOURCE,GROUND_ELEVATION,GROUND_ELEVATION_SOURCE,GROUND_ELEVATION_TYPE,KB HEIGHT,WELL_DATE,LATITUDE,LONGITUDE,KB_HEIGHT_ACTUAL,KB_HEIGHT_PREDICTED
3921240,3861850,CO,RIO BLANCO,V,5248.0,KB,ST_COOGC,5248.0,DF,ST_COOGC,5237.0,ST_COOGC,GR,11,1946-02-05,40.1086566010083,-108.854775893345,11,10.227552854372393
7747631,7613965,TX,LA SALLE,H,377.0,KB,ST_TXRRC,376.5,DF,ST_TXRRC,348.0,ST_TXRRC,GR,29,2017-03-04,28.5237585298154,-98.9212342218751,29,27.065632497795388
5108063,5025384,TX,GRAYSON,V,682.0,KB,UNKNOWN,,,,671.33,FD_USGS,EG,11,2004-05-10,33.5211594469093,-96.8888069703409,11,13.834687648956379
7227280,7118235,OH,STARK,V,1135.0,KB,ST_OHDNR,,,,1127.0,ST_OHDNR,GR,8,2008-11-18,40.94421,-81.27408,8,9.899592604111636
7722943,7592895,TX,LOVING,H,3309.0,KB,ST_TXRRC,3309.0,DF,ST_TXRRC,3284.0,ST_TXRRC,GR,25,2016-09-02,31.9707062202959,-103.504430683854,25,24.97582285792047
4271621,4207736,KS,LANE,V,2841.0,KB,ST_KSKGS,2839.0,DF,ST_KSKGS,2832.7,FD_USGS,EG,8,1989-11-20,38.6265863625244,-100.573180309502,8,11.901671172805685
7455400,7336420,KS,STEVENS,V,3032.0,KB,ST_KSKGS,,,,3018.0,STATE,GR,14,2013-07-09,37.0148965960153,-101.179350402119,14,14.199300317705443
4059265,3998243,CO,WELD,V,5058.0,KB,ST_COOGC,,,,5047.0,ST_COOGC,GR,11,1980-05-12,40.1336471718212,-104.758135005171,11,11.377169733414135
7035201,6926472,TX,WEBB,V,533.0,KB,STATE,532.0,DF,STATE,518.0,ST_TXRRC,GR,15,2012-04-06,27.6027547094389,-99.3580243910718,15,15.154352192400385
5582906,5495600,NM,RIO ARRIBA,V,6417.0,KB,UNKNOWN,,,,6404.0,ST_NMOCD,GR,13,1990-03-02,36.7527669124892,-107.471868715028,13,13.243531361936562
